[2023-11-21 18:10:35,565] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-21 18:10:48,338] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
[2023-11-21 18:10:48,340] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:10:48,358] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-21 18:10:48,359] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
[2023-11-21 18:10:48,361] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:10:48,555] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "POST /oidc/v1/token HTTP/1.1" 400 132
[2023-11-21 18:10:48,587] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "POST /oidc/v1/token HTTP/1.1" 400 132
[2023-11-21 18:10:48,944] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:10:49,186] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-21 18:10:49,192] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
[2023-11-21 18:10:49,198] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:10:49,426] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "POST /oidc/v1/token HTTP/1.1" 400 132
[2023-11-21 18:11:14,124] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
[2023-11-21 18:11:14,126] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:11:14,185] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-21 18:11:14,186] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
[2023-11-21 18:11:14,188] DEBUG in connectionpool: Starting new HTTPS connection (1): plotly-customer-success.cloud.databricks.com:443
[2023-11-21 18:11:14,284] DEBUG in connectionpool: https://plotly-customer-success.cloud.databricks.com:443 "GET /oidc/.well-known/oauth-authorization-server HTTP/1.1" 200 None
[2023-11-21 18:11:14,285] DEBUG in oauth: Retrieving token for 793dbcac-9b34-409a-a234-7ad1d4de71a7
